"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@firebase/app","0.6.30","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fapp"
"nodejs","@firebase/app-types","0.6.3","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fapp-types"
"nodejs","@firebase/component","0.1.17","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fcomponent"
"nodejs","@firebase/component","0.5.6","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fcomponent"
"nodejs","@firebase/installations","0.4.15","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Finstallations"
"nodejs","@firebase/installations-types","0.3.4","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Finstallations-types"
"nodejs","@firebase/logger","0.2.6","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Flogger"
"nodejs","@firebase/messaging","0.6.21","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fmessaging"
"nodejs","@firebase/messaging-types","0.4.5","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Fmessaging-types"
"nodejs","@firebase/util","0.3.0","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Futil"
"nodejs","@firebase/util","1.3.0","Apache-2.0","Copyright 2017 Google LLC","https://www.npmjs.com/package/%40firebase%2Futil"
"nodejs","@quasar/extras","1.16.3","MIT","Copyright (c) 2015-present Razvan Stoenescu","https://www.npmjs.com/package/%40quasar%2Fextras"
"nodejs","@sentry/browser","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Fbrowser"
"nodejs","@sentry/core","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Fcore"
"nodejs","@sentry/hub","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Fhub"
"nodejs","@sentry/integrations","5.30.0","MIT","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Fintegrations"
"nodejs","@sentry/minimal","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Fminimal"
"nodejs","@sentry/types","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Ftypes"
"nodejs","@sentry/utils","5.30.0","BSD-3-Clause","Copyright (c) 2022 Functional Software, Inc. dba Sentry","https://www.npmjs.com/package/%40sentry%2Futils"
"nodejs","ansi-regex","5.0.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-regex"
"nodejs","ansi-styles","4.3.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-styles"
"nodejs","arr-union","3.1.0","MIT","Copyright (c) 2014-2016, Jon Schlinkert.","https://www.npmjs.com/package/arr-union"
"nodejs","assign-symbols","1.0.0","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/assign-symbols"
"nodejs","axios","0.21.4","MIT","Copyright (c) 2014-present Matt Zabriskie","https://www.npmjs.com/package/axios"
"nodejs","axios-mock-adapter","1.21.4","MIT","Copyright (c) Colin Timmermans","https://www.npmjs.com/package/axios-mock-adapter"
"nodejs","bufferutil","--","MIT","Copyright (c) 2011 Einar Otto Stangvik <einaros@gmail.com>Copyright (c) 2013 Arnout Kazemier and contributorsCopyright (c) 2016 Luigi Pinca and contributors","https://www.npmjs.com/package/bufferutil"
"nodejs","capital-case","1.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/capital-case"
"nodejs","change-case","4.1.2","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/change-case"
"nodejs","collection-visit","1.0.0","MIT","Copyright (c) 2015-2016, Jon Schlinkert","https://www.npmjs.com/package/collection-visit"
"nodejs","concat-map","0.0.1","MIT","","https://www.npmjs.com/package/concat-map"
"nodejs","constant-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/constant-case"
"nodejs","copy-descriptor","0.1.1","MIT","Copyright (c) 2015-2016, Jon Schlinkert","https://www.npmjs.com/package/copy-descriptor"
"nodejs","core-js","3.30.1","MIT","Copyright (c) 2014-2023 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","define-property","0.2.5","MIT","Copyright (c) 2015-2018, Jon Schlinkert.","https://www.npmjs.com/package/define-property"
"nodejs","dom-storage","2.1.0","Apache-2.0","","https://www.npmjs.com/package/dom-storage"
"nodejs","dot-case","3.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/dot-case"
"nodejs","extend-shallow","3.0.2","MIT","Copyright (c) 2014-2015, 2017, Jon Schlinkert.","https://www.npmjs.com/package/extend-shallow"
"nodejs","faker","5.5.3","MIT","","https://www.npmjs.com/package/faker"
"nodejs","fast-deep-equal","3.1.3","MIT","Copyright (c) 2017 Evgeny Poberezkin","https://www.npmjs.com/package/fast-deep-equal"
"nodejs","fibers","--","MIT","Copyright 2011 Marcel LaverdetPermission is hereby granted, free of charge, to any person obtaining a copyof this software and associated documentation files (the ""Software""), todeal in the Software without restriction, including without limitation therights to use, copy, modify, merge, publish, distribute, sublicense, and/orsell copies of the Software, and to permit persons to whom the Software isfurnished to do so, subject to the following conditions:","https://www.npmjs.com/package/fibers"
"nodejs","for-in","1.0.2","MIT","Copyright (c) 2014-2017, Jon Schlinkert","https://www.npmjs.com/package/for-in"
"nodejs","get-value","2.0.6","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/get-value"
"nodejs","has-tostringtag","1.0.0","MIT","Copyright (c) 2021 Inspect JS","https://www.npmjs.com/package/has-tostringtag"
"nodejs","has-value","0.3.1","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/has-value"
"nodejs","has-value","1.0.0","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/has-value"
"nodejs","has-values","0.1.4","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/has-values"
"nodejs","has-values","1.0.0","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/has-values"
"nodejs","hash-base","3.1.0","MIT","Copyright (c) 2016 Kirill Fomichev","https://www.npmjs.com/package/hash-base"
"nodejs","hash.js","1.1.7","MIT","Copyright Fedor Indutny, 2014.","https://www.npmjs.com/package/hash.js"
"nodejs","header-case","2.0.4","MIT","Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)","https://www.npmjs.com/package/header-case"
"nodejs","idb","3.0.2","ISC","Copyright (c) 2016, Jake Archibald <jaffathecake@gmail.com>","https://www.npmjs.com/package/idb"
"nodejs","immediate","3.0.6","MIT","Copyright (c) 2012 Barnesandnoble.com, llc, Donavon West, Domenic Denicola, Brian Cavalier","https://www.npmjs.com/package/immediate"
"nodejs","is-accessor-descriptor","0.1.6","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-accessor-descriptor"
"nodejs","is-accessor-descriptor","1.0.0","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-accessor-descriptor"
"nodejs","is-bigint","1.0.4","MIT","Copyright (c) 2018 Jordan Harband","https://www.npmjs.com/package/is-bigint"
"nodejs","is-boolean-object","1.1.2","MIT","Copyright (c) 2015 Jordan Harband","https://www.npmjs.com/package/is-boolean-object"
"nodejs","is-buffer","1.1.6","MIT","Copyright (c) Feross Aboukhadijeh","https://www.npmjs.com/package/is-buffer"
"nodejs","is-buffer","2.0.5","MIT","Copyright (c) Feross Aboukhadijeh","https://www.npmjs.com/package/is-buffer"
"nodejs","is-data-descriptor","0.1.4","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-data-descriptor"
"nodejs","is-data-descriptor","1.0.0","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-data-descriptor"
"nodejs","is-descriptor","0.1.6","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-descriptor"
"nodejs","is-descriptor","1.0.2","MIT","Copyright (c) 2015-present, Jon Schlinkert.","https://www.npmjs.com/package/is-descriptor"
"nodejs","is-extendable","1.0.1","MIT","Copyright (c) 2015-2017, Jon Schlinkert.","https://www.npmjs.com/package/is-extendable"
"nodejs","is-number","7.0.0","MIT","Copyright (c) 2014-present, Jon Schlinkert.","https://www.npmjs.com/package/is-number"
"nodejs","is-number-object","1.0.7","MIT","Copyright (c) 2015 Jordan Harband","https://www.npmjs.com/package/is-number-object"
"nodejs","is-plain-object","2.0.4","MIT","Copyright (c) 2014-2017, Jon Schlinkert.","https://www.npmjs.com/package/is-plain-object"
"nodejs","is-symbol","1.0.4","MIT","Copyright (c) 2015 Jordan Harband","https://www.npmjs.com/package/is-symbol"
"nodejs","isobject","2.1.0","MIT","Copyright (c) 2014-2017, Jon Schlinkert.","https://www.npmjs.com/package/isobject"
"nodejs","json5","1.0.1","MIT","Copyright (c) 2012-2018 Aseem Kishore, and [others].","https://www.npmjs.com/package/json5"
"nodejs","jsonfile","6.1.0","MIT","Copyright (c) 2012-2015, JP Richardson <jprichardson@gmail.com>","https://www.npmjs.com/package/jsonfile"
"nodejs","kind-of","4.0.0","MIT","Copyright (c) 2014-present, Jon Schlinkert.","https://www.npmjs.com/package/kind-of"
