"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","-","0.0.1","Unlicense","","https://www.npmjs.com/package/-"
"nodejs","@angular-devkit/architect","0.901.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular-devkit%2Farchitect"
"nodejs","@angular-devkit/core","9.1.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular-devkit%2Fcore"
"nodejs","@angular-devkit/schematics","8.0.6","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular-devkit%2Fschematics"
"nodejs","@angular-devkit/schematics","9.1.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular-devkit%2Fschematics"
"nodejs","@angular/animations","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","8.2.3","MIT","Copyright (c) 2023 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/cli","8.0.6","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular%2Fcli"
"nodejs","@angular/cli","9.1.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular%2Fcli"
"nodejs","@angular/common","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/http","7.2.16","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fhttp"
"nodejs","@angular/material","8.2.3","MIT","Copyright (c) 2023 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial"
"nodejs","@angular/platform-browser","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","8.0.3","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@ng-bootstrap/ng-bootstrap","5.2.3","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@schematics/angular","8.0.6","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40schematics%2Fangular"
"nodejs","@schematics/angular","9.1.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40schematics%2Fangular"
"nodejs","@schematics/update","0.800.6","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40schematics%2Fupdate"
"nodejs","@schematics/update","0.901.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40schematics%2Fupdate"
"nodejs","adler-32","1.3.1","Apache-2.0","Copyright (C) 2014-present   SheetJS LLC","https://www.npmjs.com/package/adler-32"
"nodejs","ajv","6.12.0","MIT","Copyright (c) 2015-2021 Evgeny Poberezkin","https://www.npmjs.com/package/ajv"
"nodejs","angular-datatables","9.0.2","MIT","Copyright (c) Louis Lin <louis.lin.87@gmail.com> (l-lin.github.io)","https://www.npmjs.com/package/angular-datatables"
"nodejs","ansi-colors","4.1.1","MIT","Copyright (c) 2015-present, Brian Woodward.","https://www.npmjs.com/package/ansi-colors"
"nodejs","ansi-escapes","4.3.1","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-escapes"
